SessionId	Time	ItemId	is_click	raw_index	session_new_index	item_new_index	tr_val_tst
2290	0	43337	0	46	0	0	0
2290	0	44952	0	47	0	1	0
2290	0	61850	0	48	0	2	0
2290	0	51849	1	49	0	3	0
2290	1	43337	0	46	0	0	0
2290	1	44952	0	47	0	1	0
2290	1	61850	0	48	0	2	0
2290	1	33012	0	50	0	4	0
2290	1	13250	0	51	0	5	0
2290	1	25170	1	52	0	6	0
2290	2	43337	0	46	0	0	0
2290	2	44952	0	47	0	1	0
2290	2	61850	0	48	0	2	0
2290	2	33012	0	50	0	4	0
2290	2	13250	0	51	0	5	0
2290	2	42995	1	53	0	7	0
3203	3	100049	0	104	1	8	0
3203	3	87716	1	105	1	9	0
3203	4	100049	0	104	1	8	0
3203	4	86629	0	106	1	10	0
3203	4	34400	0	107	1	11	0
3203	4	100049	0	108	1	8	0
3203	4	87716	0	109	1	9	0
3203	4	86629	0	110	1	10	0
3203	4	34400	0	111	1	11	0
3203	4	100049	1	112	1	8	0
4625	5	92800	0	163	2	12	0
4625	5	13802	0	164	2	13	0
4625	5	60578	0	165	2	14	0
4625	5	6733	1	166	2	15	0
5363	6	83755	0	194	3	16	0
5363	6	75920	0	195	3	17	0
5363	6	46833	0	196	3	18	0
5363	6	54853	1	197	3	19	0
5363	7	83755	0	194	3	16	0
5363	7	75920	0	195	3	17	0
5363	7	46833	0	196	3	18	0
5363	7	94273	0	198	3	20	0
5363	7	75461	1	199	3	21	0
5524	8	47074	0	205	4	22	0
5524	8	4370	0	206	4	23	0
5524	8	45235	0	207	4	24	0
5524	8	54080	0	208	4	25	0
5524	8	48118	0	209	4	26	0
5524	8	79984	1	210	4	27	0
5768	9	44260	0	233	5	28	0
5768	9	3945	0	234	5	29	0
5768	9	92065	0	235	5	30	0
5768	9	5723	0	236	5	31	0
5768	9	70343	0	237	5	32	0
5768	9	62779	0	238	5	33	0
5768	9	92065	0	239	5	30	0
5768	9	66357	0	240	5	34	0
5768	9	19849	0	241	5	35	0
5768	9	62779	1	242	5	33	0
6724	10	52727	0	265	6	36	0
6724	10	90031	0	266	6	37	0
6724	10	62574	0	267	6	38	0
6724	10	52727	0	268	6	36	0
6724	10	89774	0	269	6	39	0
6724	10	41566	0	270	6	40	0
6724	10	101227	0	271	6	41	0
