SessionId	Time	ItemId	is_click	raw_index	session_new_index	item_new_index	tr_val_tst
11	0	214821275	0	0	0	0	0
11	0	214821275	0	1	0	0	0
11	0	214821371	0	2	0	1	0
11	0	214821371	0	3	0	1	0
11	0	214821371	0	4	0	1	0
11	0	214706462	0	5	0	2	0
11	0	214743335	0	6	0	3	0
11	0	214819762	0	7	0	4	0
11	0	214826837	0	8	0	5	0
11	0	214821371	1	9	0	1	0
11	1	214821275	0	0	0	0	0
11	1	214821275	0	1	0	0	0
11	1	214821371	0	2	0	1	0
11	1	214821371	0	3	0	1	0
11	1	214821371	0	4	0	1	0
11	1	214706462	0	5	0	2	0
11	1	214743335	0	6	0	3	0
11	1	214819762	0	7	0	4	0
11	1	214826837	0	8	0	5	0
11	1	214821371	1	10	0	1	0
12	2	214717867	0	11	1	6	0
12	2	214717867	0	12	1	6	0
12	2	214717867	1	13	1	6	0
21	3	214838503	0	14	2	7	0
21	3	214838503	0	15	2	7	0
21	3	214838503	0	16	2	7	0
21	3	214838503	0	17	2	7	0
21	3	214838503	0	18	2	7	0
21	3	214838503	1	19	2	7	0
33	4	214706441	0	27	3	8	0
33	4	214820225	0	28	3	9	0
33	4	214820225	0	29	3	9	0
33	4	214820225	0	30	3	9	0
33	4	214820225	0	31	3	9	0
33	4	214820225	0	32	3	9	0
33	4	214706441	0	33	3	8	0
33	4	214706441	0	34	3	8	0
33	4	214706441	0	35	3	8	0
33	4	214706441	1	36	3	8	0
33	5	214706441	0	27	3	8	0
33	5	214820225	0	28	3	9	0
33	5	214820225	0	29	3	9	0
33	5	214820225	0	30	3	9	0
33	5	214820225	0	31	3	9	0
33	5	214820225	0	32	3	9	0
33	5	214706441	0	33	3	8	0
33	5	214706441	0	34	3	8	0
33	5	214706441	0	35	3	8	0
33	5	214706441	1	37	3	8	0
33	6	214706441	0	27	3	8	0
33	6	214820225	0	28	3	9	0
33	6	214820225	0	29	3	9	0
33	6	214820225	0	30	3	9	0
33	6	214820225	0	31	3	9	0
33	6	214820225	0	32	3	9	0
33	6	214706441	0	33	3	8	0
33	6	214706441	0	34	3	8	0
33	6	214706441	0	35	3	8	0
33	6	214820225	1	38	3	9	0
33	7	214706441	0	27	3	8	0
33	7	214820225	0	28	3	9	0
33	7	214820225	0	29	3	9	0
33	7	214820225	0	30	3	9	0
